央视频道,#genre#
CCTV1综合,http://111.20.33.70/PLTV/88888893/224/3221226010/index.m3u8
CCTV1综合,http://111.40.196.25/PLTV/88888888/224/3221225548/index.m3u8
CCTV1综合,http://117.169.120.242:8080/wh7f454c46tw1490432856_1716888660/hwrr.jx.chinamobile.com/PLTV/88888888/224/3221225618/index.m3u8?icpid=88888888&RTS=1663085841&from=79102&ocs=2_117.169.120.136_8080&hms_devid=1403&online=1663085841&vqe=3
CCTV1综合,http://39.134.67.110/PLTV/88888888/224/3221225816/index.m3u8
CCTV1综合,http://222.175.159.226:808/hls/1/index.m3u8
CCTV1综合,http://39.134.32.108:6610/270000001111/1110000301/index.m3u8?IASHttpSessionId=OTT
CCTV1综合,http://219.140.56.34:3333/tsfile/live/0001_1.m3u8
CCTV1综合,http://39.135.138.58:18890/PLTV/88888888/224/3221225618/index.m3u8
CCTV1综合,http://39.135.138.58:18890/PLTV/88888888/224/3221225642/index.m3u8
CCTV1综合,http://39.135.138.58:18890/PLTV/88888888/224/3221225762/index.m3u8
CCTV1综合,http://39.135.138.58:18890/PLTV/88888888/224/3221226221/index.m3u8
CCTV1综合,http://39.135.138.58:18890/PLTV/88888888/224/3221226225/index.m3u8
CCTV1综合,http://39.135.138.58:18890/PLTV/88888888/224/3221225918/index.m3u8

CCTV2财经,http://39.135.138.58:18890/PLTV/88888888/224/3221225619/index.m3u8
CCTV2财经,http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV2财经,http://39.135.138.59:18890/PLTV/88888910/224/3221225619/index.m3u8
CCTV2财经,http://111.32.169.224/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000203603.m3u8
CCTV2财经,http://219.140.56.34:3333/tsfile/live/0002_1.m3u8
CCTV2财经,http://39.134.32.102:6610/270000001111/1110000302/index.m3u8?IASHttpSessionId=OTT
CCTV2财经,http://222.175.159.226:808/hls/2/index.m3u8
CCTV2财经,http://39.135.138.58:18890/PLTV/88888910/224/3221225643/index.m3u8
CCTV2财经,http://39.135.138.58:18890/PLTV/88888888/224/3221225619/index.m3u8

CCTV3综艺,http://111.20.33.70/PLTV/88888893/224/3221226397/index.m3u8
CCTV3综艺,http://111.40.196.25/PLTV/88888888/224/3221225588/index.m3u8
CCTV3综艺,http://39.134.67.110/PLTV/88888888/224/3221225799/index.m3u8
CCTV3综艺,http://39.134.32.108:6610/270000001111/1110000303/index.m3u8?IASHttpSessionId=OTT
CCTV3综艺,http://219.140.56.34:3333/tsfile/live/0003_1.m3u8
CCTV3综艺,http://111.20.33.93/TVOD/88888893/224/3221226397/index.m3u8
CCTV3综艺,http://39.135.138.58:18890/PLTV/88888888/224/3221225634/index.m3u8
CCTV3综艺,http://39.135.138.58:18890/PLTV/88888888/224/3221225647/index.m3u8

CCTV4国际,http://111.20.33.70/PLTV/88888893/224/3221226223/index.m3u8
CCTV4国际,http://121.51.249.6/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel4/index.m3u8
CCTV4国际,http://111.20.33.70/TVOD/88888893/224/3221226223/index.m3u8
CCTV4国际,http://39.135.138.58:18890/PLTV/88888888/224/3221225621/index.m3u8
CCTV4国际,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV4国际,http://39.135.138.59:18890/PLTV/88888888/224/3221225621/index.m3u8
CCTV4K,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8
CCTV4K,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8?zzhongd

CCTV5体育,http://39.134.67.226/PLTV/88888888/224/3221225818/index.m3u8
CCTV5体育,http://39.134.65.179/PLTV/88888888/224/3221225818/index.m3u8
CCTV5体育,http://39.134.65.181/PLTV/88888888/224/3221225818/index.m3u8
CCTV5体育,http://39.134.65.173/PLTV/88888888/224/3221225818/index.m3u8
CCTV5体育,http://39.134.66.2/PLTV/88888888/224/3221225818/index.m3u8
CCTV5体育,http://39.134.32.108:6610/270000001111/1110000305/index.m3u8?IASHttpSessionId=OTT
CCTV5体育,http://newvideo.dangtutv.cn:8278/CCTVsports/playlist.m3u8
CCTV5体育,http://111.20.33.70/PLTV/88888893/224/3221226395/index.m3u8
CCTV5体育,http://39.134.67.110/PLTV/88888888/224/3221225818/index.m3u8
CCTV5体育,http://222.175.159.226:808/hls/5/index.m3u8

CCTV5+,http://111.40.196.25/PLTV/88888888/224/3221225767/index.m3u8
CCTV5+,http://111.20.33.70/PLTV/88888893/224/3221226221/index.m3u8
CCTV5+,http://39.134.67.110/PLTV/88888888/224/3221225507/index.m3u8
CCTV5+,http://39.134.32.108:6610/270000001111/1110000306/index.m3u8?IASHttpSessionId=OTT
CCTV5+,http://222.175.159.226:808/hls/6/index.m3u8
CCTV5+,http://39.135.138.58:18890/PLTV/88888888/224/3221225649/index.m3u8
CCTV5+,http://39.135.138.58:18890/PLTV/88888888/224/3221225706/index.m3u8
CCTV5+,http://39.134.66.66/PLTV/88888888/224/3221225507/index.m3u8
CCTV5+,http://39.134.65.181/PLTV/88888888/224/3221225507/index.m3u8
CCTV5+,http://39.134.65.173/PLTV/88888888/224/3221225507/index.m3u8
CCTV5+,http://39.134.65.183/PLTV/88888888/224/3221225507/index.m3u8
CCTV5+,http://39.134.65.175/PLTV/88888888/224/3221225507/index.m3u8

CCTV6电影,http://39.135.138.58:18890/PLTV/88888888/224/3221225632/index.m3u8
CCTV6电影,http://39.135.138.58:18890/PLTV/88888888/224/3221225650/index.m3u8
CCTV6电影,http://39.134.32.108:6610/270000001111/1110000307/index.m3u8?IASHttpSessionId=OTT
CCTV6电影,http://111.20.33.70/TVOD/88888893/224/3221226393/index.m3u8
CCTV6电影,http://111.20.33.70/PLTV/88888893/224/3221226393/index.m3u8
CCTV6电影,http://39.134.65.181/PLTV/88888888/224/3221225814/index.m3u8
CCTV6电影,http://39.134.65.173/PLTV/88888888/224/3221225814/index.m3u8
CCTV6电影,http://39.134.65.183/PLTV/88888888/224/3221225814/index.m3u8
CCTV6电影,http://39.134.65.175/PLTV/88888888/224/3221225814/index.m3u8
CCTV6电影,http://39.134.65.177/PLTV/88888888/224/3221225814/index.m3u8
CCTV6电影,http://39.134.66.2/PLTV/88888888/224/3221225814/index.m3u8

CCTV7军事,http://39.135.138.58:18890/PLTV/88888888/224/3221225624/index.m3u8
CCTV7军事,http://39.135.138.58:18890/PLTV/88888888/224/3221225644/index.m3u8
CCTV7军事,http://39.134.65.179/PLTV/88888888/224/3221225671/index.m3u8
CCTV7军事,http://111.20.33.70/TVOD/88888893/224/3221226192/index.m3u8
